4.000000000000000000e+01 6.250000000000000347e-03 2.500000000000000052e-03 1.000000000000000021e-03 1.549160926142402472e-02 -4.945433437555935008e-03
4.005502751375687609e+01 6.232839321669473610e-03 2.496565505182965407e-03 1.000000000000000021e-03 1.542362143544931743e-02 -4.927783219248194069e-03
4.011005502751375928e+01 6.215749223762621727e-03 2.493140434023447417e-03 1.000000000000000021e-03 1.535596920410299202e-02 -4.910162435161138927e-03
4.016508254127063537e+01 6.198729319754313349e-03 2.489724747789264121e-03 1.000000000000000021e-03 1.528865124312873448e-02 -4.892571482968503804e-03
4.022011005502751146e+01 6.181779225761739258e-03 2.486318407960199425e-03 1.000000000000000021e-03 1.522166622827021004e-02 -4.875010760346451533e-03
4.027513756878439466e+01 6.164898560522772547e-03 2.482921376226555898e-03 1.000000000000000021e-03 1.515501283527107869e-02 -4.857480664967675499e-03
4.033016508254127075e+01 6.148086945374538724e-03 2.479533614487720167e-03 1.000000000000000021e-03 1.508868973987502471e-02 -4.839981594507297702e-03
4.038519259629814684e+01 6.131344004232161873e-03 2.476155084850737396e-03 1.000000000000000021e-03 1.502269561782571677e-02 -4.822513946640266669e-03
4.044022011005503003e+01 6.114669363567743279e-03 2.472785749628896631e-03 1.000000000000000021e-03 1.495702914486681315e-02 -4.805078119038928841e-03
4.049524762381190612e+01 6.098062652389532601e-03 2.469425571340333470e-03 1.000000000000000021e-03 1.489168899674199985e-02 -4.787674509379273580e-03
4.055027513756878221e+01 6.081523502221278590e-03 2.466074512706637519e-03 1.000000000000000021e-03 1.482667384919494034e-02 -4.770303515334688160e-03
4.060530265132566541e+01 6.065051547081794052e-03 2.462732536651471987e-03 1.000000000000000021e-03 1.476198237796929637e-02 -4.752965534580468054e-03
4.066033016508254150e+01 6.048646423464722026e-03 2.459399606299212792e-03 1.000000000000000021e-03 1.469761325880875914e-02 -4.735660964789480121e-03
4.071535767883941759e+01 6.032307770318459834e-03 2.456075684973584201e-03 1.000000000000000021e-03 1.463356516745698520e-02 -4.718390203638234137e-03
4.077038519259630078e+01 6.016035229026308641e-03 2.452760736196319194e-03 1.000000000000000021e-03 1.456983677965763800e-02 -4.701153648798729601e-03
4.082541270635317687e+01 5.999828443386790409e-03 2.449454723685822854e-03 1.000000000000000021e-03 1.450642677115440878e-02 -4.683951697946261983e-03
4.088044022011005296e+01 5.983687059594154818e-03 2.446157611355849644e-03 1.000000000000000021e-03 1.444333381769095578e-02 -4.666784748755432866e-03
4.093546773386693616e+01 5.967610726219064847e-03 2.442869363314188053e-03 1.000000000000000021e-03 1.438055659501093902e-02 -4.649653198899456052e-03
4.099049524762381225e+01 5.951599094189483595e-03 2.439589943861362152e-03 1.000000000000000021e-03 1.431809377885805146e-02 -4.632557446054320904e-03
4.104552276138068834e+01 5.935651816771703344e-03 2.436319317489336195e-03 1.000000000000000021e-03 1.425594404497595134e-02 -4.615497887893241225e-03
4.110055027513757153e+01 5.919768549551590597e-03 2.433057448880233519e-03 1.000000000000000021e-03 1.419410606910830389e-02 -4.598474922089777761e-03
4.115557778889444762e+01 5.903948950415986371e-03 2.429804302905068901e-03 1.000000000000000021e-03 1.413257852699879510e-02 -4.581488946320787237e-03
4.121060530265132371e+01 5.888192679534280834e-03 2.426559844622481338e-03 1.000000000000000021e-03 1.407136009439108153e-02 -4.564540358257228314e-03
4.126563281640820691e+01 5.872499399340160540e-03 2.423324039277488084e-03 1.000000000000000021e-03 1.401044944702883356e-02 -4.547629555576304661e-03
4.132066033016508300e+01 5.856868774513539558e-03 2.420096852300242154e-03 1.000000000000000021e-03 1.394984526065573549e-02 -4.530756935950362718e-03
4.137568784392195909e+01 5.841300471962635431e-03 2.416878249304800236e-03 1.000000000000000021e-03 1.388954621101545078e-02 -4.513922897055218375e-03
4.143071535767884228e+01 5.825794160806223830e-03 2.413668196087901448e-03 1.000000000000000021e-03 1.382955097385163423e-02 -4.497127836564779324e-03
4.148574287143571837e+01 5.810349512356070140e-03 2.410466658627758666e-03 1.000000000000000021e-03 1.376985822490798400e-02 -4.480372152152085896e-03
4.154077038519259446e+01 5.794966200099495486e-03 2.407273603082852025e-03 1.000000000000000021e-03 1.371046663992815488e-02 -4.463656241492433563e-03
4.159579789894947766e+01 5.779643899682126648e-03 2.404088995790739768e-03 1.000000000000000021e-03 1.365137489465581035e-02 -4.446980502260076962e-03
4.165082541270635375e+01 5.764382288890802959e-03 2.400912803266875162e-03 1.000000000000000021e-03 1.359258166483464161e-02 -4.430345332130311564e-03
4.170585292646322984e+01 5.749181047636628926e-03 2.397744992203430792e-03 1.000000000000000021e-03 1.353408562620830521e-02 -4.413751128775136867e-03
4.176088044022011303e+01 5.734039857938192514e-03 2.394585529468135857e-03 1.000000000000000021e-03 1.347588545452046635e-02 -4.397198289871236121e-03
4.181590795397698912e+01 5.718958403904943026e-03 2.391434382103122588e-03 1.000000000000000021e-03 1.341797982551480757e-02 -4.380687213091649657e-03
4.187093546773386521e+01 5.703936371720701691e-03 2.388291517323775683e-03 1.000000000000000021e-03 1.336036741493500102e-02 -4.364218296110632112e-03
4.192596298149074840e+01 5.688973449627348321e-03 2.385156902517599105e-03 1.000000000000000021e-03 1.330304689852469975e-02 -4.347791936602958540e-03
4.198099049524762449e+01 5.674069327908644149e-03 2.382030505243088944e-03 1.000000000000000021e-03 1.324601695202759326e-02 -4.331408532242363163e-03
4.203601800900450058e+01 5.659223698874198648e-03 2.378912293228608883e-03 1.000000000000000021e-03 1.318927625118734501e-02 -4.315068480703794507e-03
